date,impressions,uniques
2018-09-03,342889480,111371673
2018-09-04,314530304,103879884
2018-09-05,312853400,105304769
2018-09-06,307490193,104022104
2018-09-07,290207924,100132408
2018-09-08,208656469,78015150
2018-09-09,216025169,80502571
2018-09-10,320782717,109829510
2018-09-11,316595603,108983903
2018-09-12,305781372,106707737
2018-09-13,303435600,104682767
2018-09-14,278122661,97053686
2018-09-15,187637913,69353232
2018-09-16,215175392,76979140
2018-09-17,310609055,103749523
2018-09-18,325276633,103721191
2018-09-19,308418813,103397995
2018-09-20,313764322,103812372
2018-09-21,277905380,97353260
2018-09-22,194913539,72589709
2018-09-23,232484705,80040317
2018-09-24,314186442,103937537
2018-09-25,305015935,103464449
2018-09-26,314314147,104769199
2018-09-27,297455118,102090771
2018-09-28,298790068,105169163
2018-09-29,269564019,79734319
2018-09-30,226909338,80075720
2018-10-01,313365891,106643718
2018-10-02,316842366,105593437
2018-10-03,329658149,111640926
2018-10-04,328538566,109797613
2018-10-05,313718880,108080602
2018-10-06,230657518,88036580
2018-10-07,343177322,124727232
2018-10-08,347898142,122961067
2018-10-09,343028569,114516338
2018-10-10,341573659,113401104
2018-10-11,369006088,121951960
2018-10-12,330903983,113716185
2018-10-13,217893776,82226758
2018-10-14,228349298,85725861
2018-10-15,328437732,116745945
2018-10-16,314342582,109628476
2018-10-17,341673854,116966227
2018-10-18,329232380,113955766
2018-10-19,315788284,110835614
2018-10-20,214643220,79456162
2018-10-21,224083714,80252737
2018-10-22,335926527,113968425
2018-10-23,336249650,117183810
2018-10-24,328506859,114447503
2018-10-25,305625723,109646862
2018-10-26,294130907,108537617
2018-10-27,206926409,80184531
2018-10-28,217803577,80620121
2018-10-29,333348867,115880129
2018-10-30,300391447,107339535
2018-10-31,306181903,107072967
2018-11-01,324380972,114413222
2018-11-02,305287711,108378099
2018-11-03,215493484,83761972
2018-11-04,227112778,83054548
2018-11-05,248323405,91581740
2018-11-06,350684428,107498153
2018-11-07,317411277,111898292
2018-11-08,321182939,111984474
2018-11-09,301894435,111950239
2018-11-10,212487028,82178903
2018-11-11,241548597,86826770
2018-11-12,317661096,110327030
2018-11-13,304580180,112114246
2018-11-14,302737353,109889260
2018-11-15,287237440,103599671
2018-11-16,292927673,107713525
2018-11-17,210763270,82662076
2018-11-18,217780653,84000884
2018-11-19,308882725,110536848
2018-11-20,304489882,110258081
2018-11-21,302074201,109533925
2018-11-22,291700290,109060424
2018-11-23,282308282,105009438
2018-11-24,205160857,80158011
2018-11-25,242082647,89290133
2018-11-26,385830197,128717980
2018-11-27,349806922,122139772
2018-11-28,347632897,117954551
2018-11-29,332554366,113112430
2018-11-30,326641759,110143785
2018-12-01,237535256,85702430
2018-12-02,245034357,84207007
2018-12-03,335906238,109221544
2018-12-04,309137739,107598933
2018-12-05,319791091,106926210
2018-12-06,310774626,106664543
2018-12-07,295372592,103692650
2018-12-08,228386289,83959689
2018-12-09,240928572,89844168
2018-12-10,315729232,110616785
2018-12-11,313067730,109410530
2018-12-12,316443009,102987377
2018-12-13,325432945,108110571
2018-12-14,278833699,95222879
2018-12-15,200525980,71422155
2018-12-16,207618819,74424439
