x,y
1509923,1483444
1209056,1337735
2723694,1872438
1201504,1172430
974662,866970
3795298,4327843
1008585,946140
1457413,1329820
1375865,1374825
664377,837289
1365374,865554
2664111,2877629
2063853,1994933
2777651,1897022
2188233,2455319
8314270,8371157
2914708,3498626
2635104,2802642
2193960,2138959
1913023,2106278
1492452,1542329
2669318,2865149
3005452,3543227
1998609,1946496
673568,841849
1259689,1330717
1518806,1458057
1373812,1315290
2953164,3518381
2245888,2258641
1017634,819051
672021,763092
3442637,3545492
1150077,1693892
1671593,1670899
1117262,1066409
1166160,1168589
1349197,1522712
2351902,1543655
1507410,1653832
838667,909821
1540066,1464428
2824734,1780477
4306899,4787138
681953,947899
1652030,1091133
1259558,1416594
1273792,1353724
2140906,2379235
756005,969014
1591140,1718449
1158746,1439994
1140976,1091734
2426741,2750765
1616706,1887130
963801,1157888
3728167,4059489
5790542,5764704
2814499,2874644
5081606,5689504
2892647,3402422
2684618,2783593
1138088,1244280
1472266,1171642
2893672,1761776
2774661,2972676
2469625,2776420
880321,1014975
1229939,1197861
686524,697825
1463233,1465665
1361020,1462251
5861549,6857423
1454879,1461154
2739618,3221119
831636,1197598
986986,971937
2854997,3338610
745452,712618
2896500,3360837
1900794,848351
1579310,1530811
2454198,2409764
962098,932698
1303325,1430304
890738,1062096
908040,383694
1763097,1969559
2657661,2823390
2309579,1594235
2629760,2806473
1479017,1691113
1332276,1497689
1071517,1015047
2143231,2045448
858491,675056
2150340,2410726
1574139,1148266
2713310,3201548
2188782,2450053
916622,1232381
988244,1256672
2395659,1522052
2138964,2712716
6250944,4437451
1210198,929050
1352477,1023922
2038598,2121789
1124532,1057001
2521622,2829046
1269252,1507506
2093235,1253537
3877437,4230558
2170619,2502060
936146,972539
968654,759943
2889995,3256936
1341503,1418504
1038264,1321430
2687898,1655761
971311,825085
870533,1197871
936065,865367
3696064,4153560
1369396,1303655
1014690,1398296
402871,559178
1219343,889432
2487154,2816520
1981145,1920696
2060473,2365758
2745175,1683618
8046753,8116016
2854704,3386964
2456253,2769951
2118376,2071102
1686027,2054681
1576929,1558701
2491467,2802011
2927892,3407140
1912467,1899400
635082,736031
1039983,1349426
1298134,1133679
1449115,1458059
2907730,3424421
2346380,2344518
984893,787357
689751,751760
3110685,3587838
1611324,1645782
1242998,1681283
1039118,1062213
1092844,974922
1261422,1460224
2213695,1749649
1404022,1629198
756405,790716
1474784,1463042
3041585,1855049
4476943,4767400
665557,828159
1715626,1120367
1211261,1344742
1279297,1355398
2225782,2382651
807061,904087
1235751,1453642
1744325,1709786
1334451,1117090
2527779,2757826
1949259,1831285
3690891,4125446
1053579,1070094
5634015,5694224
3036289,2940545
2906157,2804259
5208860,5807978
2769553,3367848
1148477,1170981
1638932,1255298
3234882,1835623
3102568,2922565
2570643,2779608
902919,965996
1313113,1264116
874184,860587
1588785,1423053
1370011,1439391
5608681,6901096
1576489,1420152
2626312,3178226
848350,1290634
981487,938881
2735758,3320536
821638,695606
2772644,3340023
1674366,805225
1717414,1503081
985881,1063762
2524902,2387953
940522,1013280
1286371,1371675
1062842,478922
1796409,1858335
2682481,1462897
2977557,2738081
2861620,2768483
1584160,1580162
