x,y
1419957,1412951
2440569,2385331
1450303,1364499
1701252,1666691
1252566,1344509
2752102,2767690
1854556,1860020
3735764,3962944
2949381,2876273
5783128,5654528
5678286,5722286
2766949,2741588
4048460,3252163
1474100,1241587
2967561,2102213
2913723,2949792
2797257,2820007
1664494,1243276
1519156,1469929
8303516,6536816
1491592,1401829
1508662,1442045
3884920,3083843
3994810,3189283
4063094,3218502
1644602,1606949
2961461,2452683
1826800,1875589
2775426,2832879
2307499,1733393
2758245,2758313
1648089,1693929
1602241,1510375
2178217,2230115
2132560,2325942
3848501,3058510
2167410,2358832
1424306,1057215
2648245,2630598
2455434,1780093
6499910,5369686
1361759,947173
2054133,2280611
2821758,2872986
1443763,1461155
2073146,1494993
3896911,4120646
2441016,2407633
4027806,3249877
1601973,1279868
2702018,1905771
1358309,1377090
4090078,4211052
1336090,1674645
2827593,2845026
2006472,2038532
2748527,1945634
2038474,2279667
4033215,3221431
8040065,8025693
2784829,2805220
1907681,1497548
2161128,2194376
1957564,1975929
4145969,3272750
2817980,2802917
1933889,1951708
1500638,1427337
1268076,1326025
4118944,3269765
3135145,2287489
3539435,3588902
1819373,1408930
2560707,2202670
1496664,1608616
1531408,1491919
3140191,2074379
4752120,4700505
1849197,1263515
1317479,1414314
1500873,1398568
2363649,2328808
1456174,1446919
2012362,1712332
1431728,1399169
2670212,2763893
2222219,1879595
3631260,3869235
3345526,2945863
5516899,5603872
4023383,3270401
3108428,2782357
5534782,5758554
1676234,1395655
3257499,2078644
3249249,2961450
2713628,2814131
1601117,1281373
1501624,1514684
8251702,6558250
1472313,1389072
1492128,1514717
3860760,3086654
3969120,3215329
4036450,3227026
1623673,1604659
2907238,2474939
1735442,1798237
2984180,1915838
3140781,2821842
3128357,2751340
1570812,1622119
1891347,1567364
2149632,2214124
2042019,2238162
3816787,3060602
2063970,2290501
1405416,1075292
2560225,2550533
2749345,1801473
8690490,5394515
1604088,1090825
1834851,2254847
2722376,2874815
1319278,1433043
2359257,1517413
3784840,3975265
2363406,2321532
4002543,3249889
1437228,1249140
3034174,1958600
3992519,4197893
1338623,1349034
2854444,1478373
2748268,2826548
1983558,2071377
1946198,2179082
3088561,1986458
3997147,3215064
7685621,8001138
2701828,2801215
2121629,2201259
1993299,1540911
1881432,1955791
4119679,3273422
2741513,2806054
1913676,2021227
1210154,1309247
1484064,1506219
4091868,3279772
3107818,2437474
4268860,3594694
2112489,1379760
3424767,2278240
1434044,1648990
1512883,1522289
3046439,1919081
4422741,4550708
1789447,1112148
1279987,1332069
1546784,1345985
2201182,2267717
1570298,1549947
1277697,1325542
1724360,1440631
2488344,2650952
1747355,1627224
3507231,3683828
5041183,4989841
2770841,2682859
2498541,2503427
5110944,5579402
3754807,2994446
1575243,1145784
3226227,1869019
2717525,2626201
2526511,2684916
1406601,1182006
1800333,1471769
7701481,6119550
1418942,1277210
1790985,1460260
3607092,2780324
3706875,2933168
3768060,2936545
1922613,1584831
2638075,2313791
1725047,1807940
2463444,1441517
2589809,2515761
2580519,2516458
1544179,1592498
1427540,1289336
2418480,2050918
1940071,2118594
3575900,2751291
1974044,2172746
1283933,860001
2653284,1652362
2567115,2533254
5446476,5170562
1518490,1061914
2801319,2442831
2587087,2736853
1224728,1455862
2258931,1372131
