me
1005438
-731578
725453
-183253
-84095
-364228
-185862
-141983
-682170
-476515
-131975
5196
-499182
-387105
-576342
-1068110
-329027
417126
927517
-279418
-476798
-191997
-568748
-184139
-1305196
-561661
-543684
-578056
-561020
-589807
-372137
-160106
-266341
898663
-363723
-319569
63221
-549324
92875
-538750
78074
340635
-355359
847943
1147953
809614
-891883
-475859
-374255
845495
-1161
-431151
-485504
129107
961215
-734668
287513
-639672
-490559
-452050
960863
74249
-655398
-368213
-480594
-335743
-573370
-68406
-635667
-487990
-459398
-151312
-557554
-586308
-333853
-237293
166560
-70778
20894
-577904
221701
-36237
50219
-107812
2233
-16634
-421023
-83184
-435544
-40539
-387315
20392
1220
-596972
-215516
-140914
38574
-207839
216013
-505346
-37645
-68501
-348422
-578996
-156881
-353318
-209685
-211440
-200948
-324357
-132530
-19921
-447394
306090
-512588
-16955
-287587
-344219
81346
-208874
76142
57324
44072
162948
909224
132586
-444422
-33950
-119834
234882
34018
-77433
-161644
75533
203161
238661
-328474
-730876
-49831
-340223
223825
57871
7752
-270607
-35839
-4677
-337010
-71009
-41158
-283678
-329570
-353204
58399
-236139
-208988
-671101
106073
289785
138510
-349196
392223
581603
59965
182931
7867
287095
163117
-371723
-90171
312923
-372907
-160818
-147148
-595189
17842
611284
-571870
48658
399627
-498910
323596
-169843
-256997
-82304
-69616
-249339
-3963
21121
15015
-253308
-268596
-18986
653683
-514618
-581615
312649
-259341
-292559
-119514
5789
-115014
319225
786953
333406
-1933819
-26996
-133465
322156
202916
263236
-121827
262299
98719
595373
364702
-83172
-133546
-1090341
327024
-266188
388691
-147511
-117103
-34056
319045
-158576
494893
-301619
-54657
337515
-259648
-249365
411150
31148
-396444
-745847
17776
-924438
-96198
-261902
-122055
664898
163102
-87037
-51603
335878
577
344397
455449
318176
79201
174875
203507
-502632
563058
173237
145200
-178631
-442973
273387
314042
203819
547258
337557
88725
546246
179526
191879
204874
607927
282974
-118010
262555
-127553
182421
268948
184889
686933
181461
180385
180238
400332
-184268
26221
435758
-21704
874794
320645
357822
-209452
166561
328260
222203
411768
-96074
242035
109842
-257253
323215
591870
-112303
153074
-654238
182283
321363
680775
2242
288196
329908
205245
571267
-5872
536333
187394
344446
115216
298080
-47091
74966
553435
287642
909396
191299
-79854
226257
454875
177032
352265
209566
523217
302223
643304
345562
-563249
942394
272553
209761
-225407
398364
355949
518534
305160
249578
-33737
414732
259242
216474
201676
223976
269616
252171
326955
79510
347117
343443
256049
324517
224939
413444
197353
428774
679261
624357
258243
-388088
124958
31092
496016
313967
241860
681230
450044
190754
684480
284414
-167625
302784
294215
527349
258629
274931
374574
-883024
190009
523657
232963
173580
345082
542588
220763
280970
255550
265894
206552
534887
569897
52723
166604
226922
240627
-423469
-162081
-10026
-6076
156957
-69431
68303
65252
11566
-147898
24556
385764
75381
325128
-233714
18949
1109460
-167900
-520439
-6277
-154743
359494
51156
2379516
10592
68662
1073920
1098810
1122094
44602
362461
164800
-26574
-742501
25245
-112911
151241
-136783
248560
1060501
239410
518306
123245
-470566
867910
-34241
51133
-172242
-75237
-408854
416911
-93984
1073806
364973
-391982
217309
202078
-368910
-137407
-90528
-418473
221474
1110215
373065
-153171
369681
-104872
-4436
1175969
-93020
-80111
75638
1076
1166944
701145
29435
421373
191707
230664
44408
223191
221120
88197
-145521
270873
120649
86174
451362
223728
57212
519219
391260
566526
-122101
947383
479428
128782
-351766
309499
480249
46628
153117
52624
2035702
-88687
46128
922760
926120
976450
86673
121238
179442
166180
521781
569357
14812
483347
3632
240019
911787
205970
479416
51225
176345
2987490
100088
-25149
2376
-25722
263257
441840
130406
916543
186228
276174
-101481
236623
1692444
77268
-15442
224198
296561
953147
-219379
46828
-3371
265299
-101568
1018679
78513
-36324
-71846
45064
1007868
313818
1026860
664489
943767
122044
57883
401439
-545259
354447
-96013
215784
-270818
-89702
-127303
-27640
-360656
11355
136231
-114817
-235159
-306459
-817056
674807
152243
660227
-225475
-358489
-7399
-72667
1323481
-25058
-66015
694092
653875
700060
-70387
-142925
-91953
-21556
-223191
-235481
-145821
75540
-58520
173071
689900
158044
460933
356284
-885
-206524
143490
375319
-343913
-321272
362931
135363
-353241
847855
180109
387380
-208806
321559
-574099
-344828
27215
382960
148243
604740
204909
-362634
-141788
-71967
13208
-357011
675649
5263
-62057
-9028
716640
15532
31418
245265
7592
68612
-80234
