x,y
1354924,1361000
1419957,1263000
2440569,2510000
1450303,1382000
1701252,1636000
1252566,1241000
2752102,2900000
1854556,1830000
3735764,3350000
2949381,2874000
5783128,5458000
5678286,5912000
2766949,2748000
4048460,2939000
1474100,1642000
2967561,3488000
2913723,2920000
2797257,2952000
1664494,1305000
1519156,1468000
8303516,5924000
1491592,1481000
1508662,1440000
3884920,2811000
3994810,2896000
4063094,2941000
1644602,1600000
2961461,2599000
1826800,1662000
2775426,2802000
2307499,3050000
2758245,2733000
1648089,1761000
1602241,1451000
2178217,2315000
2132560,1884000
3848501,2788000
2167410,1928000
1424306,906000
2648245,2525000
2455434,2926000
6499910,5632000
1361759,1396000
2054133,2003000
2821758,2994000
1443763,1519000
2073146,2482000
3896911,3480000
2441016,2535000
4027806,2954000
1601973,1237000
2702018,3094000
1358309,1141000
4090078,3888000
1336090,1705000
2827593,2965000
2006472,2097000
2748527,3167000
2038474,1817000
4033215,2923000
8040065,7667000
2784829,2938000
1907681,1538000
2161128,2266000
1957564,1962000
4145969,2970000
2817980,2911000
1933889,2014000
1500638,1425000
1268076,1267000
4118944,2952000
3135145,2434000
3539435,3510000
1819373,1398000
2560707,2369000
1496664,1266000
1531408,1487000
3140191,2917000
4752120,4531000
1849197,1761000
1317479,1463000
1500873,1230000
2363649,2243000
1456174,1370000
2012362,1561000
1431728,1208000
2670212,2613000
2222219,1703000
3631260,3240000
3345526,2779000
5516899,5639000
4023383,3076000
3108428,2629000
5534782,5406000
1676234,2028000
3257499,2948000
3249249,2769000
2713628,2667000
1601117,1448000
1501624,1449000
8251702,6216000
1472313,1561000
1492128,1446000
3860760,2938000
3969120,3043000
4036450,3060000
1623673,1537000
2907238,2786000
1735442,1556000
2984180,2818000
3140781,2619000
3128357,2559000
1570812,1556000
1891347,1408000
2149632,2146000
2042019,1802000
3816787,2905000
2063970,1858000
1405416,926000
2560225,2509000
2749345,2573000
8690490,5703000
1604088,1504000
1834851,1860000
2722376,2720000
1319278,1345000
2359257,2096000
3784840,3343000
2363406,2233000
4002543,3086000
1437228,1251000
3034174,2758000
3992519,4094000
1338623,1102000
2854444,1162000
2748268,2671000
1983558,1999000
1946198,1722000
3088561,2792000
3997147,3044000
7685621,7905000
2701828,2655000
2121629,2125000
1993299,1728000
1881432,1983000
4119679,3101000
2741513,2663000
1913676,1950000
1210154,1282000
1484064,1439000
4091868,3084000
3107818,2794000
4268860,3242000
2112489,1448000
3424767,2481000
1434044,1312000
1512883,1455000
3046439,2645000
4422741,4968000
1789447,1435000
1279987,1376000
1546784,1331000
2201182,2472000
1570298,1660000
1277697,1405000
1724360,1752000
2488344,2849000
1747355,1736000
3507231,3371000
5041183,5156000
2770841,3006000
2498541,2805000
5110944,5928000
3754807,3080000
1575243,1423000
3226227,2566000
2717525,2943000
2526511,2885000
1406601,1414000
1800333,1873000
7701481,6378000
1418942,1444000
1790985,1857000
3607092,2913000
3706875,3053000
3768060,3068000
1922613,1993000
2638075,2781000
1725047,1817000
2463444,2485000
2589809,2813000
2580519,2816000
1544179,1690000
1427540,1352000
2418480,2477000
1940071,1767000
3575900,2886000
1974044,1816000
1283933,823000
2653284,2297000
2567115,2568000
5446476,5653000
1518490,1375000
2801319,2426000
2587087,2931000
1224728,1546000
2258931,1896000
3652363,3517000
2197759,2551000
3835855,2988000
1266109,1086000
2908380,2521000
3741194,3950000
1276559,955000
1452901,2027000
2567172,2912000
2262215,2235000
2963960,2581000
1848243,1700000
3727740,3123000
7007909,6803000
2515366,2878000
1874212,2016000
2407033,2479000
1696208,1683000
2552989,2910000
3846649,3171000
2187263,2182000
1783943,1846000
1224972,1234000
3820640,3104000
2720532,2705000
3350418,3319000
1576265,1331000
2263592,2256000
1334612,1266000
1811766,1892000
