x,y
1201504,965000
974662,1120000
3795298,4342000
1008585,836000
1457413,1075000
1375865,1122000
664377,647000
1365374,948000
2664111,2734000
2063853,1659000
2777651,1924000
2188233,2015000
8314270,10130000
2914708,3350000
2635104,2672000
2193960,1772000
1913023,1899000
1492452,1491000
2669318,2723000
3005452,3395000
1998609,1620000
673568,851000
1259689,1130000
1518806,1258000
1373812,1099000
2953164,3352000
2245888,2153000
1017634,1095000
672021,678000
3442637,2790000
1150077,1705000
1671593,1916000
1117262,1215000
1166160,1018000
1349197,1278000
2351902,2094000
1507410,1398000
838667,851000
1540066,1262000
2824734,2086000
4306899,4895000
681953,764000
1652030,1243000
1259558,1423000
1273792,1325000
2140906,2432000
756005,843000
1591140,1528000
1158746,1449000
1140976,872000
2426741,2861000
1616706,1636000
963801,1200000
3728167,3811000
5790542,6293000
2814499,2543000
5081606,5868000
2892647,3158000
2684618,2467000
1138088,1394000
1472266,1461000
2893672,2048000
2774661,2610000
2469625,2892000
880321,932000
1229939,1320000
686524,865000
1463233,1201000
1361020,1633000
5861549,6401000
1454879,1197000
2739618,3019000
831636,1236000
986986,871000
2854997,3117000
745452,571000
2896500,3148000
1900794,993000
1579310,1254000
2454198,2654000
962098,766000
1303325,1313000
890738,978000
908040,520000
1763097,2007000
2657661,2481000
2309579,2627000
2629760,2473000
1479017,1697000
1332276,1284000
1071517,918000
2143231,1630000
858491,854000
2150340,2141000
1574139,1425000
2713310,3003000
2188782,2186000
916622,1174000
988244,1084000
2395659,1808000
2138964,2472000
6250944,6308000
1210198,869000
1352477,1193000
2038598,1661000
1124532,954000
2521622,2946000
1269252,1542000
2093235,1504000
3877437,3982000
2170619,2591000
936146,862000
968654,1071000
2889995,3031000
1341503,1267000
1038264,1242000
2687898,1961000
971311,1039000
870533,1048000
936065,717000
3696064,4025000
1369396,1164000
1014690,1228000
402871,409000
1219343,1030000
2487154,2929000
1981145,1529000
2060473,2065000
2745175,1992000
8046753,9079000
2854704,3157000
2456253,2887000
2118376,1647000
1686027,1896000
1576929,1745000
2491467,2910000
2927892,3178000
1912467,1512000
635082,752000
1039983,1196000
1298134,922000
1449115,1195000
2907730,3177000
2346380,2616000
984893,961000
689751,777000
3110685,3114000
1611324,1834000
1242998,1941000
1039118,1249000
1092844,824000
1261422,1283000
2213695,2514000
1404022,1458000
756405,685000
1474784,1199000
3041585,2150000
4476943,4170000
665557,639000
1715626,1234000
1211261,1260000
1279297,1344000
2225782,2082000
807061,718000
1235751,1249000
1744325,1404000
1334451,841000
2527779,2426000
1949259,1465000
3690891,3832000
1053579,934000
5634015,6263000
3036289,2479000
2906157,2363000
5208860,5068000
2769553,3007000
1148477,1161000
1638932,1546000
3234882,2111000
3102568,2447000
2570643,2446000
902919,866000
1313113,1376000
874184,1018000
1588785,1190000
1370011,1434000
5608681,6171000
1576489,1188000
2626312,2877000
848350,1132000
981487,842000
2735758,2984000
821638,583000
2772644,3006000
1674366,917000
1717414,1253000
985881,914000
2524902,2594000
940522,846000
1286371,1250000
1062842,780000
1796409,1797000
2682481,2197000
2977557,2278000
2861620,2305000
1584160,1388000
1015398,951000
1533143,1176000
2283222,1680000
970809,862000
2122559,2103000
1520899,1164000
2600535,2844000
2158910,2149000
996583,1191000
1057676,1054000
2620966,1903000
2267978,2170000
5710620,4694000
1081198,794000
1353418,1082000
1926718,1840000
1067499,967000
2616253,2490000
1353063,1224000
2230291,1497000
3841872,3941000
2268702,2189000
1044806,857000
1097279,998000
2766720,2958000
1540794,1177000
1156817,1194000
2887341,2053000
928867,1082000
1427798,840000
1359692,1271000
1036001,722000
3580433,3969000
1650227,982000
412682,393000
1280269,1199000
2583994,2474000
2096523,1575000
2027948,2014000
2950360,2073000
7825226,9021000
2729668,3030000
2557249,2434000
1591446,1609000
1733142,1755000
2252281,1669000
2591529,2464000
2800819,3085000
2022154,1552000
623146,699000
1129583,1080000
1566048,1183000
1332268,1048000
2783446,3027000
970203,1055000
2480557,2649000
748675,759000
3755465,2761000
1362724,1696000
1565402,1773000
1049124,1061000
1076987,875000
1245797,1244000
2410152,2023000
1471172,1288000
769678,729000
1603511,1197000
3244805,2139000
4347328,5056000
652504,608000
1821660,1200000
1263100,1387000
1216863,1214000
2162956,2519000
807851,875000
1318644,1361000
1602954,1450000
1098780,1435000
2457896,2923000
1750810,1579000
3520997,3503000
975748,1188000
2800209,2753000
5538897,5980000
2760219,3387000
5044922,6126000
2681429,2565000
1750973,1463000
1133651,1256000
3401556,2206000
2864135,2687000
2494469,2963000
853781,835000
1270721,928000
952222,698000
1467719,1455000
5592779,6972000
1360052,1494000
1457524,1446000
2615768,3205000
1123718,1188000
960693,940000
2727985,3333000
751142,638000
2763628,3398000
2095967,966000
1581005,1559000
2459458,2756000
1015679,1008000
1232235,1205000
1030852,1019000
1193104,711000
1720215,2028000
2744608,2559000
2795843,2320000
2638885,2577000
1485964,1786000
998550,1043000
1436194,778000
1014199,803000
2141206,2019000
2015308,1932000
1468087,1210000
2590940,3179000
2049219,1976000
974507,1065000
965864,1070000
2357247,2502000
2801351,1913000
5854398,5903000
1069366,1213000
1493016,1055000
1895066,1242000
1043848,1093000
2539584,3021000
1252302,1601000
2363506,1475000
3665417,3623000
2192611,2591000
970062,986000
988465,1142000
2758778,3285000
1379398,1305000
1193037,1285000
3076569,2049000
1009283,1186000
920137,1008000
1299279,1314000
3556450,4437000
930192,835000
1183979,1335000
583468,518000
991332,1100000
2509137,2993000
1978170,1857000
1926105,1869000
3145485,2075000
7681445,8286000
2720165,3451000
2483221,2951000
1590628,1734000
1784671,1917000
2114225,2000000
2510120,3015000
2792927,3472000
1912854,1775000
687241,761000
1165095,1223000
1283875,1097000
1449914,1432000
2774866,3405000
2449758,2604000
937852,985000
735692,775000
3375349,3022000
1324717,1746000
1515991,1723000
1045495,1156000
1054367,933000
1172998,1128000
2538668,2293000
1382756,1370000
736563,745000
1479051,1474000
3650438,2206000
4236422,4840000
646537,629000
2160453,1268000
1192747,1544000
1246905,1513000
2107772,2411000
697790,951000
1474138,1212000
1263017,1284000
1069830,835000
2372485,2761000
1604025,1315000
3376196,3456000
921928,1166000
4656818,5174000
2618895,2128000
2503658,3602000
4859890,6310000
2475973,2094000
1840126,1455000
1056356,1281000
